Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
341080,Chichinautzin,"Delgado H, Arana-Salinas L, Nieto-Obregon J, Mendoza-Rosales C, Silva-Romo G",1997,"Pelado volcano in southern Mexico City, a young monogenetic volcano (<1000 years old) and its possible impact on human settlements","IAVCEI General Assembly, Puerto Vallarta, Mexico, January 19-24, 1997, Abs, p 123"
341080,Chichinautzin,"Delgado H, Romero-Taran E, Cervantes P, Molinero R, Nieto-Obregon J, Mendoza-Rosales C, Silva-Romo G",1997,"Volcan Ajusco (Mexico): evolution, collapse and volcano-tectonic relations, regional transition from polygenetic to monogenetic volcanism","IAVCEI General Assembly, Puerto Vallarta, Mexico, January 19-24, 1997, Abs, p 124"
341080,Chichinautzin,"Gonzalez S, Pastrana A, Siebe C, Duller G",2000,"Timing of the prehistoric eruption of Xitle Volcano and the abandonment of Cuicuilco Pyramid, southern basin of Mexico","In: McGuire W J, Griffiths D, Stewarts I (eds) {Geol Soc Spec Pub}, 171: 205-224"
341080,Chichinautzin,"Guilbaud M-N, Siebe C, Agustin-Flores J",2009,"Eruptive style of the young high-Mg basaltic-andesite Pelagatos scoria cone, southeast of Mexico City","Bull Volcanol, 71: 859-880"
341080,Chichinautzin,"Kirianov V Y, Koloskov A V, De la Cruz-Reyna S, Martin del Pozzo A L",1990,"Main stages of the most recent volcanism in the Chichinautzin zone, Mexico volcanic belt","Trans (Doklady) USSR Acad Sci Earth Sci, 311: 81-83"
341080,Chichinautzin,"Lugo-Hupb J, Ortiz-Perez M A, Palacio-Prieto J L, Bocco-Verdinelli G",1985,Las zonas mas activas en el Cinturon Volcanico Mexicano (entre Michoacan y Tlaxcala),"Geof Internac, 24: 83-96"
341080,Chichinautzin,"Marquez A, Verma S P, Anguita F, Oyarzun R, Brandle J L",1999,Tectonics and volcanism of Sierra Chichinautzin: extension at the front of the Central Trans-Mexican Volcanic Belt,"J. Volcanol. Geotherm. Res., 93: 125-140"
341080,Chichinautzin,Martin del Pozzo A L,1982,"Monogenetic volcanism in Sierra Chichinautzin, Mexico","Bull Volcanol, 45: 9-24"
341080,Chichinautzin,Martin del Pozzo A L,1993,Potential hazards from Popocatepetl and Chichinautzin monogenetic volcanoes near Mexico City,"IAVCEI 1993 Canberra Mtg Abs, p 68"
341080,Chichinautzin,"Martin del Pozzo A L, Espinasa R, Lugo J, Barba L, Lopez J, Plunkett P, Urunuela G, Manzanilla L",1997,Volcanic impact in central Mexico,"IAVCEI General Assembly, Puerto Vallarta, Mexico, January 19-24, 1997, Fieldtrip Guidebook, 31 p"
341080,Chichinautzin,"Martinez-Serrano R G, Schaaf P, Solis-Pichardo G, del Sol Hernandez-Bernal M, Hernandez-Trevino T, Morales-Contreras J J, Macias J L",2004,"Sr, Nd and Pb isotope and geochemical data from the Quaternary Nevado de Toluca volcano, a source of recent adakitic magmatism, and the Tenango volcanic field, Mexico","J. Volcanol. Geotherm. Res., 138: 77-110"
341080,Chichinautzin,"Mooser F, Meyer-Abich H, McBirney A R",1958,Central America,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 6: 1-146"
341080,Chichinautzin,"Nelson S A, Sanchez-Rubio G",1986,Trans Mexican volcanic belt field guide,"Geol Assoc Can, 108 p"
341080,Chichinautzin,"Siebe C, Arana-Salinas L, Abrams M",2005,"Geology and radiocarbon ages of Tlaloc, Tlacotenco, Cuauhtzin, Hijo del Cuauhtzin, and Ocusacayo monogenetic volcanoes in the central part of the Sierra Chichinautzin, Mexico","J. Volcanol. Geotherm. Res., 141: 225-243"
341080,Chichinautzin,"Siebe C, Macias J-L",2006,"Volcanic hazards in the Mexico City metropolitan area from eruptions at Popocatepetl, Nevado de Toluca, and Jocotitlan stratovolcanoes and monogenetic scoria cones in the Sierra Chichinautzin volcanic field","In: Siebe S, Macias J-L, Aguirre-Diaz G J (eds) Neogone-Quaternary continental margin volcanism: a perspective from Mexico, {Geol Soc Amer Spec Pap}, 402: 253-329"
341080,Chichinautzin,"Siebe S, Rodriguez-Lara V, Schaaf P, Abrams M",2004,"Geochemistry, Sr-Nd isotope composition, and tectonic setting of Holocene Pelado, Guespalapa and Chichinautzin scoria cones, south of Mexico City","J. Volcanol. Geotherm. Res., 130: 197-226"
341080,Chichinautzin,"Siebe S, Rodriguez-Lara V, Schaaf P, Abrams M",2004,"Radiocarbon ages of Holocene Pelado, Guespalapa, and Chichinautzin scoria cones, south of Mexico City: implications for archaeology and future hazards","Bull Volcanol, 66: 203-225"
341080,Chichinautzin,Urrutia-Fucugauchi J,1996,"Palaeomagnetic study of the Xitle-Pedregal de San Angel lava flow, southern Basin of Mexico","Phys Earth Planet Interior, 97: 177-196"
341080,Chichinautzin,Verma S P,1999,Geochemistry of evolved magmas and their relationship to subduction-unrelated mafic volcanism at the volcanic front of the central Mexican volcanic belt,"J. Volcanol. Geotherm. Res., 93: 151-171"
341080,Chichinautzin,Verma S P,2000,Geochemistry of the subducting Cocos plate and the origin of subduction-unrelated mafic volcanism at the volcanic front of the central Mexican Volcanic Belt,"In; Delgado-Granados H, Aguirre-Diaz G J, Stock J M (eds), {Cenozoic Tectonics and Volcanism of Mexico}, Geol Soc Amer Spec Pap, 334: 195-222"
341080,Chichinautzin,"Wallace P J, Carmichael I S E",1999,Quaternary volcanism near the Valley of Mexico: implications for subduction zone magmatism and the effects of crustal thickness variation of primitive magma compositions,"Contr Mineral Petr, 135: 291-314"
341090,Popocatepetl,"Arana-Salinas L, Siebe C , Macias J L",2010,"Dynamics of the ca. 4965 yr 14C BP ""Ochre Pumice"" Plinian eruption of Popocatepetl volcano, Mexico","J. Volcanol. Geotherm. Res., 192: 212-231"
341090,Popocatepetl,"Armienta M A, De la Cruz-Reyna S, Macias J L",2000,"Chemical characteristics of the crater lakes of Popocatepetl, El Chichon, and Nevado de Toluca volcanoes, Mexico","J. Volcanol. Geotherm. Res., 97: 105-125"
341090,Popocatepetl,"Boudal C, Robin C",1988,Relations entre dynamismes eruptifs et realimentations magmatiques d'origine profonde au Popocatepetl. Translated Title: Relations between eruption dynamics and deep magmatic replenishment of Popocatepetl,"Can J Earth Sci, 25: 955-971"
341090,Popocatepetl,"Cadoux A, Missenard Y, Martinez-Serrano R G, Guillou H",2011,Trenchward Plio-Quaternary volcanism migration in the Trans-Mexican Volcanic Belt: the case of the Sierra Nevada range,"Geol Mag, 148: 492-506"
341090,Popocatepetl,"Capra L, Macias J L, Scott K M, Abrams M, Garduno-Monroy V H",2002,"Debris avalanches and debris flows transformed from collapses in the Trans-Mexican Volcanic Belt, Mexico - behavior, and implications for hazard assessment","J. Volcanol. Geotherm. Res., 113: 81-110"
341090,Popocatepetl,"Capra L, Poblete M A, Alvarado R",2004,The 1997 and 2001 lahars of Popocatepetl volcano (central Mexico): textural and sedimentological constraints on their origin and hazards,"J. Volcanol. Geotherm. Res., 131: 351-369"
341090,Popocatepetl,Crausaz W,1993,"Pico de Orizaba or Citlaltepetl: geology, archaeology, history, natural history, and mountaineering routes","Amherst, Ohio: Geopress Internatl, 594 p"
341090,Popocatepetl,"De la Cruz-Reyna S, Quezada J L, Pena C, Zepeda O, Sanchez T",1995,Historia de la actividad reciente del Volcan Popocatepetl,"In: {Volcan Popocatepetl Estudios Realizados durante la Crisis de 1994-1995}, Mexico City: SINAPROC-CENEPRED-UNAM, p 3-22"
341090,Popocatepetl,"Delgado-Granados H, Cardenas-Gonzalez L, Piedad-Sanchez N",2001,"Sulfur dioxide emissions from Popocatepetl Volcano (Mexico); case study of a high-emission rate, passively degassing erupting volcano","J. Volcanol. Geotherm. Res., 108: 107-120"
341090,Popocatepetl,"Espinasa-Perena R, Martin-del Pozzo A L",2006,"Morphostratigraphic evolution of Popocatepetl volcano, Mexico","In: Siebe S, Macias J-L, Aguirre-Diaz G J (eds) Neogone-Quaternary continental margin volcanism: a perspective from Mexico, {Geol Soc Amer Spec Pap}, 402: 115-137"
341090,Popocatepetl,"Luhr J F, Kimberly P G, Siebert L, Aranda-Gomez J J, Housh T B, Kysar Mattietti G",2006,Quaternary volcanic rocks: insights from the MEXPET petrological and geochemical database,"In: Siebe S, Macias J-L, Aguirre-Diaz G J (eds) Neogone-Quaternary continental margin volcanism: a perspective from Mexico, {Geol Soc Amer Spec Pap}, 402: 1-44"
341090,Popocatepetl,"Macias J L, Carrasco G, Delgado H, Martin del Pozzo A L, Siebe C, Hoblitt R, Sheridan M F, Tilling R I",1995,Mapa de peligros volcanicos del Popocatepetl,"Pub especial Inst Geofis, Univ Nac Auton Mexico"
341090,Popocatepetl,"Macias J L, Carrasco G, Siebe C",1995,Zonificacion de peligros volcanicos del Popocatepetl,"In: {Volcan Popocatepetl Estudios Realizados durante la Crisis de 1994-1995}, Mexico City: SINAPROC-CENEPRED-UNAM, p 79-92"
341090,Popocatepetl,"Macias J L, Siebe C",2005,Popocatepetl's crater filled to the brim: significance for hazard evaluation,"J. Volcanol. Geotherm. Res., 141: 321-330"
341090,Popocatepetl,"Martin-Del Pozzo A L, Cifuentes G, Cabral-Cano E, Bonifaz R, Correa F, Mendiola I F",2003,"Timing magma ascent at Popocatepetl volcano, Mexico, 2000-2001","J. Volcanol. Geotherm. Res., 125: 107-120"
341090,Popocatepetl,"Mooser F, Meyer-Abich H, McBirney A R",1958,Central America,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 6: 1-146"
341090,Popocatepetl,Robin C,1984,"Le Volcan Popocatepetl (Mexique): structure, evolution petrologique et risques","Bull Volcanol, 47: 1-25"
341090,Popocatepetl,"Robin C, Boudal C",1987,A gigantic Bezymianny-type event at the beginning of modern Volcan Popocatepetl,"J. Volcanol. Geotherm. Res., 31: 115-130"
341090,Popocatepetl,"Siebe C, Abrams M, Macias J L",1995,"Derrumbes gigantes, depositos de avalancha de escombros y edad del actual","In: {Volcan Popocatepetl Estudios Realizados durante la Crisis de 1994-1995}, Mexico City: SINAPROC-CENEPRED-UNAM, p 195-220"
341090,Popocatepetl,"Siebe C, Abrams M, Macias J L, Obenholzner J",1996,"Repetitive volcanic disasters in Prehispanic time at Popocatepetl, central Mexico:  past key to the future?","Geology, 24: 399-402"
341090,Popocatepetl,"Siebe C, Macias J L, Abrams M, Obenholzner J",1996,La destruccion de Cacaxtla y Cholula: un suceso en la historia eruptiva del Popocatepetl,"Rev Cienc, Fac Cienc, UNAM, 41: 36-45"
341090,Popocatepetl,"Siebe C, Macias J L, Abrams M, Rodriguez S, Castro R",1997,"Catastrophic prehistoric eruptions at Popocatepetl and Quaternary explosive volcanism in the Serdan-Oriental Basin, east-central Mexico","IAVCEI General Assembly, Puerto Vallarta, Mexico, January 19-24, 1997, Fieldtrip Guidebook, Excursion no 4, 88 p"
341090,Popocatepetl,"Siebe C, Macias J-L",2006,"Volcanic hazards in the Mexico City metropolitan area from eruptions at Popocatepetl, Nevado de Toluca, and Jocotitlan stratovolcanoes and monogenetic scoria cones in the Sierra Chichinautzin volcanic field","In: Siebe S, Macias J-L, Aguirre-Diaz G J (eds) Neogone-Quaternary continental margin volcanism: a perspective from Mexico, {Geol Soc Amer Spec Pap}, 402: 253-329"
341090,Popocatepetl,"Siebe C, Schaaf P, Urrutia-Fucugauchi J",1999,"Mammoth bones embedded in a late Pleistocene lahar from Popocatepetl Volcano, near Tocuila, central Mexico","Geol Soc Amer Bull, 111: 1550-1562"
341090,Popocatepetl,"Zobin V M, Martinez A",2010,"Quantification of the 1998-1999 explosion sequence at Popocatepetl volcano, Mexico","J. Volcanol. Geotherm. Res., 194: 165-173"
341091,"Malinche, La","Abrams M J, Siebe C",1994,"Cerro Xalapaxco: an unusual tuff cone with multiple explosion craters, in central Mexico (Puebla)","J. Volcanol. Geotherm. Res., 63: 183-199"
341091,"Malinche, La","Castro-Govea R, Siebe C",2007,"Late Pleistocene-Holocene stratigraphy and radiocarbon dating of La Malinche volcano, central Mexico","J. Volcanol. Geotherm. Res., 162: 20-42"
341091,"Malinche, La",Crausaz W,1993,"Pico de Orizaba or Citlaltepetl: geology, archaeology, history, natural history, and mountaineering routes","Amherst, Ohio: Geopress Internatl, 594 p"
341091,"Malinche, La","Freundt A, Kutterolf S, Schmincke H-U, Hansteen T, Wehrmann H, Perez W, Strauch W, Navarro M",2006,"Volcanic hazards in Nicaragua: past, present, and future","In: Rose W I, Bluth G J S, Carr M J, Ewert J W, Patino L C, Vallance J W (eds), Volcanic hazards in Central America, {Geol Soc Amer Spec Pap}, 412: 141-165"
341091,"Malinche, La",Macias J L,2002,,(pers. comm.)
341091,"Malinche, La",Nelson S A,1990,Volcanic hazards in Mexico--a summary,"Univ Nac Auton Mexico Inst Geol, Rev, 9: 71-81"
341091,"Malinche, La","Siebe C, Macias J L, Abrams M, Rodriguez S, Castro R",1997,"Catastrophic prehistoric eruptions at Popocatepetl and Quaternary explosive volcanism in the Serdan-Oriental Basin, east-central Mexico","IAVCEI General Assembly, Puerto Vallarta, Mexico, January 19-24, 1997, Fieldtrip Guidebook, Excursion no 4, 88 p"
341091,"Malinche, La",Smithsonian Institution-GVN,1990-,[Monthly event reports],"Bull Global Volc Network, v 15-33"
341091,"Malinche, La",Yarza de la Torre E,1971,Volcanes de Mexico,"Mexico City, Mexico: Aguilar, 237 p"
341093,"Humeros, Los","Campos-Enriquez J O, Arredondo-Fragoso J J",1992,"Gravity study of Los Humeros caldera complex, Mexico; structure and associated geothermal system","J. Volcanol. Geotherm. Res., 49: 69-90"
341093,"Humeros, Los","Carrasco-Nunez G, Branney M J",2005,Progressive assembly of a massive layer of ignimbrite with a normal-to-reverse compositional zoning: the Zaragoza ignimbrite of central Mexico,"Bull Volcanol, 68: 3-20"
341093,"Humeros, Los","Davila-Harris P, Carrasco-Nunez G",2014,"An unusual syn-eruptive bimodal eruption: the Holocene Cuicuiltic Member at Los Humeros caldera, Mexico","Bull Volcanol, 271: 24-42"
341093,"Humeros, Los","Ferriz H, Mahood G A",1984,"Eruption rates and compositional trends at Los Humeros Volcanic Center, Puebla Mexico","J. Geophys. Res, 89: 8511-8524"
341093,"Humeros, Los","Ferriz H, Mahood G A",1987,"Strong compositional zonation in a silicic magmatic system:  Los Humeros, Mexican neovolcanic belt","J Petr, 28: 171-209"
341093,"Humeros, Los","Martinez-S R G, Jacquier B, Arnold M",1996,"The delta 34S composition of sulfates and sulfides at the Los Humeros geothermal system, Mexico and their application to physicochemical fluid evolution","J. Volcanol. Geotherm. Res., 73: 99-118"
341093,"Humeros, Los",Mooser F H,1972,The Mexican Volcanic Belt: structure and tectonics,"Geof Internac, 12: 55-70"
341093,"Humeros, Los","Negendank J F W, Emmermann R, Krawczyk R, Mooser F, Tobschall H, Werle D",1985,Geological and geochemical investigations on the eastern Trans-Mexican Volcanic Belt,"Geof Internac, 24: 477-575"
341093,"Humeros, Los",Prol-Ledesma R M,1998,"Pre- and post-exploitation variations in hydrothermal activity in Los Humeros geothermal field, Mexico","J. Volcanol. Geotherm. Res., 83: 313-333"
341093,"Humeros, Los",Verma S P,1983,"Magma genesis and chamber processes at Los Humeros Caldera, Mexico; Nd and Sr isotope data","Nature, 302: 52-55"
341093,"Humeros, Los",Verma S P,1984,"Alkali and alkaline earth element geochemistry of Los Humeros Caldera, Puebla, Mexico","J. Volcanol. Geotherm. Res., 20: 21-40"
341093,"Humeros, Los",Verma S P,1985,"Heat source in Los Humeros geothermal area, Puebla, Mexico","Trans Geotherm Res Council, 9(Part 1): 521-526"
341093,"Humeros, Los",Verma S P,2000,"Geochemical evidence for a lithospheric source for magmas from Los Humeros caldera, Puebla, Mexico","Chem Geol, 164: 35-60"
341093,"Humeros, Los","Verma S P, Lopez-Martinez M",1982,"Geochemistry of Los Humeros caldera, Puebla, Mexico","Bull Volcanol, 45: 63-79"
341095,Naolinco Volcanic Field,"Carrasco-Nunez G, Siebert L, Diaz-Castellon R,  Vazquez-Selem L, Capra L",2010,"Evolution and hazards of a long-quiescent compound shield-like volcano: Cofre de Perote, Eastern Trans-Mexican Volcanic Belt","J. Volcanol. Geotherm. Res., 197: 209-224"
341095,Naolinco Volcanic Field,"Ferrari L , Tagami T, Eguchi M, Orozco-Esquivel M T, Petrone C M, Jacobo-Albarran J, Lopez-Martinez M",2005,"Geology, geochronology and tectonic setting of late Cenozoic volcanism along the southwestern Gulf of Mexico: the Eastern Alkaline Province revisited","J. Volcanol. Geotherm. Res., 146: 284-306"
341095,Naolinco Volcanic Field,"Gomez-Tuena, LaGatta A B, Langmuir C H, Goldstein S L, Ortega-Gutierrez F, Carrasco-Nunez G",2003,"Temporal control of subduction magmatism in the eastern Trans-Mexican Volcanic Belt: mantle sources, slab contributions, and crustal contamination","Geochem. Geophys. Geosyst., 4: 8912"
341095,Naolinco Volcanic Field,"Luhr J F, Kimberly P G, Siebert L, Aranda-Gomez J J, Housh T B, Kysar Mattietti G",2006,Quaternary volcanic rocks: insights from the MEXPET petrological and geochemical database,"In: Siebe S, Macias J-L, Aguirre-Diaz G J (eds) Neogone-Quaternary continental margin volcanism: a perspective from Mexico, {Geol Soc Amer Spec Pap}, 402: 1-44"
341095,Naolinco Volcanic Field,"Negendank J F W, Emmermann R, Krawczyk R, Mooser F, Tobschall H, Werle D",1985,Geological and geochemical investigations on the eastern Trans-Mexican Volcanic Belt,"Geof Internac, 24: 477-575"
341095,Naolinco Volcanic Field,"Rodriguez S R, Morales-Barrera W, Layer P, Gonzalez-Mercado E",2010,"A quaternary monogenetic volcanic field in the Xalapa region, eastern Trans-Mexican volcanic belt: geology, distribution and morphology of the volcanic vents","J. Volcanol. Geotherm. Res., 197: 149-166"
341095,Naolinco Volcanic Field,"Siebert L, Carrasco-Nunez G",2002,Late-Pleistocene to precolumbian behind-the-arc mafic volcanism in the eastern Mexican Volcanic Belt; implications for future hazards,"J. Volcanol. Geotherm. Res., 115: 179-205"
341096,Cofre de Perote,"Carrasco-Nunez G, Diaz-Castellon R, Siebert L, Hubbard B, Sheridan M F, Rodriguez S R",2006,Multiple edifice-collapse events in the Eastern Mexican Volcanic Belt: the role of sloping substrate and implications for hazard assessment,"J. Volcanol. Geotherm. Res., 158: 151-176"
341096,Cofre de Perote,"Carrasco-Nunez G, Righter K, Chesley J, Siebert L, Aranda-Gomez J-J",2005,Contemporaneous eruption of calc-alkaline and alkaline lavas in a continental arc (eastern Mexican volcanic belt); chemically heterogeneous but isotopically homogeneous source,"Contr Mineral Petr, 150: 423-440"
341096,Cofre de Perote,"Carrasco-Nunez G, Siebert L, Diaz-Castellon R,  Vazquez-Selem L, Capra L",2010,"Evolution and hazards of a long-quiescent compound shield-like volcano: Cofre de Perote, Eastern Trans-Mexican Volcanic Belt","J. Volcanol. Geotherm. Res., 197: 209-224"
341096,Cofre de Perote,Crausaz W,1993,"Pico de Orizaba or Citlaltepetl: geology, archaeology, history, natural history, and mountaineering routes","Amherst, Ohio: Geopress Internatl, 594 p"
341096,Cofre de Perote,"Gomez-Tuena, LaGatta A B, Langmuir C H, Goldstein S L, Ortega-Gutierrez F, Carrasco-Nunez G",2003,"Temporal control of subduction magmatism in the eastern Trans-Mexican Volcanic Belt: mantle sources, slab contributions, and crustal contamination","Geochem. Geophys. Geosyst., 4: 8912"
341096,Cofre de Perote,"Negendank J F W, Emmermann R, Krawczyk R, Mooser F, Tobschall H, Werle D",1985,Geological and geochemical investigations on the eastern Trans-Mexican Volcanic Belt,"Geof Internac, 24: 477-575"
341096,Cofre de Perote,"Rodriguez S R, Morales-Barrera W, Layer P, Gonzalez-Mercado E",2010,"A quaternary monogenetic volcanic field in the Xalapa region, eastern Trans-Mexican volcanic belt: geology, distribution and morphology of the volcanic vents","J. Volcanol. Geotherm. Res., 197: 149-166"
341096,Cofre de Perote,"Siebe C, Abrams M, Sheridan M F",1993,"Major Holocene block-and-ash fan at the western slope of ice-capped Pico de Orizaba volcano, Mexico: Implications for future hazards","J. Volcanol. Geotherm. Res., 59: 1-33"
341096,Cofre de Perote,"Siebert L, Carrasco-Nunez G",2002,Late-Pleistocene to precolumbian behind-the-arc mafic volcanism in the eastern Mexican Volcanic Belt; implications for future hazards,"J. Volcanol. Geotherm. Res., 115: 179-205"
341096,Cofre de Perote,Yarza de la Torre E,1971,Volcanes de Mexico,"Mexico City, Mexico: Aguilar, 237 p"
341098,"Cumbres,  Las","Carrasco-Nunez G, Diaz-Castellon R, Siebert L, Hubbard B, Sheridan M F, Rodriguez S R",2006,Multiple edifice-collapse events in the Eastern Mexican Volcanic Belt: the role of sloping substrate and implications for hazard assessment,"J. Volcanol. Geotherm. Res., 158: 151-176"
341098,"Cumbres,  Las",Hoskuldsson A,2001,"Late Pleistocene subglacial caldera formation at Cerro las Cumbres, eastern Mexico","Jokull, 50: 49-64"
341098,"Cumbres,  Las","Hoskuldsson A, Robin C",1993,"Late Pleistocene to Holocene eruptive activity of Pico de Orizaba, Eastern Mexico","Bull Volcanol, 55: 571-587"
341098,"Cumbres,  Las","Luhr J F, Kimberly P G, Siebert L, Aranda-Gomez J J, Housh T B, Kysar Mattietti G",2006,Quaternary volcanic rocks: insights from the MEXPET petrological and geochemical database,"In: Siebe S, Macias J-L, Aguirre-Diaz G J (eds) Neogone-Quaternary continental margin volcanism: a perspective from Mexico, {Geol Soc Amer Spec Pap}, 402: 1-44"
341098,"Cumbres,  Las","Negendank J F W, Emmermann R, Krawczyk R, Mooser F, Tobschall H, Werle D",1985,Geological and geochemical investigations on the eastern Trans-Mexican Volcanic Belt,"Geof Internac, 24: 477-575"
341098,"Cumbres,  Las","Rodriguez S-R, Siebe C, Komorowski J-C, Abrams M",2002,The Quetzalapa Pumice: a voluminous late Pleistocene rhyolite deposit in the eastern Trans-Mexican Volcanic Belt,"J. Volcanol. Geotherm. Res., 113: 177-212"
341098,"Cumbres,  Las","Siebe C, Abrams M, Sheridan M F",1993,"Major Holocene block-and-ash fan at the western slope of ice-capped Pico de Orizaba volcano, Mexico: Implications for future hazards","J. Volcanol. Geotherm. Res., 59: 1-33"
341098,"Cumbres,  Las","Siebe C, Macias J L, Abrams M, Rodriguez S, Castro R",1997,"Catastrophic prehistoric eruptions at Popocatepetl and Quaternary explosive volcanism in the Serdan-Oriental Basin, east-central Mexico","IAVCEI General Assembly, Puerto Vallarta, Mexico, January 19-24, 1997, Fieldtrip Guidebook, Excursion no 4, 88 p"
341100,"Orizaba, Pico de","Cantagrel J-M, Gourgaud A, Robin C",1984,Repetitive mixing events and Holocene pyroclastic activity at Pico de Orizaba and Popocatepetl (Mexico),"Bull Volcanol, 47: 735-748"
341100,"Orizaba, Pico de","Capra L, Macias J L, Scott K M, Abrams M, Garduno-Monroy V H",2002,"Debris avalanches and debris flows transformed from collapses in the Trans-Mexican Volcanic Belt, Mexico - behavior, and implications for hazard assessment","J. Volcanol. Geotherm. Res., 113: 81-110"
341100,"Orizaba, Pico de",Carrasco-Nunez G,1997,"Lava flow growth inferred from morphometric parameters: a case study of Citlaltepetl volcano, Mexico","Geol Mag, 134: 151-162"
341100,"Orizaba, Pico de",Carrasco-Nunez G,1999,"Holocene block-and-ash flows from summit dome activity of Citlaltepetl volcano, Eastern Mexico","J. Volcanol. Geotherm. Res., 88: 47-66"
341100,"Orizaba, Pico de",Carrasco-Nunez G,2000,"Structure and proximal stratigraphy of Citlaltepetl volcano (Pico de Orizaba), Mexico","In; Delgado-Granados H, Aguirre-Diaz G J, Stock J M (eds), {Cenozoic Tectonics and Volcanism of Mexico}, Geol Soc Amer Spec Pap, 334: 247-262"
341100,"Orizaba, Pico de","Carrasco-Nunez G, Ban M",1994,"Geologic map and structure sections of the Citlaltepetl volcano summit area, Mexico","Univ Nac Auton Mexico, Cartas Geologicas Mineras no. 9"
341100,"Orizaba, Pico de","Carrasco-Nunez G, Diaz-Castellon R, Siebert L, Hubbard B, Sheridan M F, Rodriguez S R",2006,Multiple edifice-collapse events in the Eastern Mexican Volcanic Belt: the role of sloping substrate and implications for hazard assessment,"J. Volcanol. Geotherm. Res., 158: 151-176"
341100,"Orizaba, Pico de","Carrasco-Nunez G, Gomez-Tuena A",1997,"Volcanogenic sedimentation around Citlaltepetl (Pico de Orizaba) volcano and surroundings, Veracruz, Mexico","In: Aguirre G J, Aranda J J, Carrasco G, Ferrari L (eds) {Magmatism and tectonics of central and northwestern Mexico - a selection of the 1997 IAVCEI General Assembly excursions}, Mexico, D F: UNAM, Inst Geol, p 131-151"
341100,"Orizaba, Pico de","Carrasco-Nunez G, Rose W I",1995,"Eruption of a major Holocene pyroclastic flow at Citlaltepetl volcano (Pico de Orizaba), Mexico, 8.5-9.0 ka","J. Volcanol. Geotherm. Res., 69: 197-215"
341100,"Orizaba, Pico de","Carrasco-Nunez G, Vallance J W, Rose W I",1993,"A voluminous avalanche-induced lahar from Citlaltepetl volcano, Mexico: implications for hazard assessments","J. Volcanol. Geotherm. Res., 59: 35-46"
341100,"Orizaba, Pico de",Crausaz W,1993,"Pico de Orizaba or Citlaltepetl: geology, archaeology, history, natural history, and mountaineering routes","Amherst, Ohio: Geopress Internatl, 594 p"
341100,"Orizaba, Pico de","De la Cruz-Reyna S, Carrasco-Nunez G",2002,"Probabilistic hazard analysis of Citlaltepetl (Pico de Orizaba) Volcano, eastern Mexican Volcanic Belt","J. Volcanol. Geotherm. Res., 113: 307-318"
341100,"Orizaba, Pico de","Gomez-Tuena A, Carrasco-Nunez G",1999,"Fragmentation, transport and deposition of a low-grade ignimbrite; the Citlaltepetl Ignimbrite, eastern Mexico","Bull Volcanol, 60: 448-464"
341100,"Orizaba, Pico de","Hoskuldsson A, Robin C",1993,"Late Pleistocene to Holocene eruptive activity of Pico de Orizaba, Eastern Mexico","Bull Volcanol, 55: 571-587"
341100,"Orizaba, Pico de","Luhr J F, Kimberly P G, Siebert L, Aranda-Gomez J J, Housh T B, Kysar Mattietti G",2006,Quaternary volcanic rocks: insights from the MEXPET petrological and geochemical database,"In: Siebe S, Macias J-L, Aguirre-Diaz G J (eds) Neogone-Quaternary continental margin volcanism: a perspective from Mexico, {Geol Soc Amer Spec Pap}, 402: 1-44"
341100,"Orizaba, Pico de","Mooser F, Meyer-Abich H, McBirney A R",1958,Central America,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 6: 1-146"
341100,"Orizaba, Pico de","Negendank J F W, Emmermann R, Krawczyk R, Mooser F, Tobschall H, Werle D",1985,Geological and geochemical investigations on the eastern Trans-Mexican Volcanic Belt,"Geof Internac, 24: 477-575"
341100,"Orizaba, Pico de","Robin C, Cantagrel J M",1982,Le Pico de Orizaba (Mexique): structure et evolution d'un grand volcan andesitique complexe,"Bull Volcanol, 45: 299-315"
341100,"Orizaba, Pico de","Rossotti A, Carrasco-Nunez G, Rosi M, Di Muro A",2006,"Eruptive dynamics of the ""Citlalteptel Pumice"" at Citlaltepetl volcano, eastern Mexico","J. Volcanol. Geotherm. Res., 158: 401-429"
341100,"Orizaba, Pico de","Schaaf P, Carrasco-Nunez G",2010,"Geochemical and isotopic profile of Pico de Orizaba (Citlaltepetl) volcano, Mexico: insights for magma generation processes","J. Volcanol. Geotherm. Res., 197: 108-122"
341100,"Orizaba, Pico de","Sheridan M F, Carrasco-Nunez G, Hubbard B E, Siebe C, Rodriguez-Elizarraraz S",2001,Mapa de peligros del Volcan Citlalteptel (Pico de Orizaba),"Inst Geog, Univ Nac Autonoma Mexico, 1:250,000 scale"
341100,"Orizaba, Pico de","Siebe C, Abrams M, Sheridan M F",1993,"Major Holocene block-and-ash fan at the western slope of ice-capped Pico de Orizaba volcano, Mexico: Implications for future hazards","J. Volcanol. Geotherm. Res., 59: 1-33"
